Year	Month	Day	ARROW_obs
1931	2	20	6041
1931	2	21	5939
1931	2	22	8623
1931	2	23	5987
1931	2	24	3369
1931	2	25	6169
1931	2	26	5925
1931	2	27	6026
1931	2	28	5927
1931	3	1	6371
1931	3	2	6505
1931	3	3	5884
1931	3	4	6855
1931	3	5	6270
1931	3	6	5869
1931	3	7	5789
1931	3	8	5725
1931	3	9	8805
1931	3	10	6128
1931	3	11	5983
1931	3	12	2891
1931	3	13	9048
1931	3	14	5866
1931	3	15	6296
1931	3	16	6425
1931	3	17	11183
1931	3	18	7373
1931	3	19	6371
1931	3	20	9592
1931	3	21	12591
1931	3	22	12337
1931	3	23	9529
1931	3	24	11489
1931	3	25	8656
1931	3	26	11524
1931	3	27	6578
1931	3	28	6768
1931	3	29	6761
1931	3	30	9261
1931	3	31	12266
1931	4	1	7973
1931	4	2	8130
1931	4	3	7918
1931	4	4	7773
1931	4	5	10285
1931	4	6	14238
1931	4	7	13847
1931	4	8	15773
1931	4	9	13484
1931	4	10	16194
1931	4	11	10920
1931	4	12	12029
1931	4	13	14553
1931	4	14	12283
1931	4	15	15366
1931	4	16	13485
1931	4	17	13462
1931	4	18	19213
1931	4	19	11624
1931	4	20	11126
1931	4	21	13292
1931	4	22	13583
1931	4	23	14480
1931	4	24	15616
1931	4	25	20544
1931	4	26	21059
1931	4	27	23239
1931	4	28	24019
1931	4	29	36540
1931	4	30	55828
1931	5	1	60890
1931	5	2	52518
1931	5	3	63774
1931	5	4	66404
1931	5	5	70256
1931	5	6	79093
1931	5	7	81964
1931	5	8	66155
1931	5	9	57176
1931	5	10	49107
1931	5	11	57624
1931	5	12	56145
1931	5	13	82694
1931	5	14	96903
1931	5	15	118713
1931	5	16	105338
1931	5	17	105300
1931	5	18	81117
1931	5	19	65519
1931	5	20	67394
1931	5	21	56541
1931	5	22	56590
1931	5	23	44874
1931	5	24	54806
1931	5	25	50599
1931	5	26	54816
1931	5	27	53255
1931	5	28	54241
1931	5	29	63732
1931	5	30	72780
1931	5	31	89600
1931	6	1	100416
1931	6	2	107991
1931	6	3	98150
1931	6	4	91930
1931	6	5	93147
1931	6	6	100112
1931	6	7	126108
1931	6	8	149991
1931	6	9	157013
1931	6	10	171112
1931	6	11	142616
1931	6	12	121537
1931	6	13	106576
1931	6	14	98299
1931	6	15	107932
1931	6	16	114478
1931	6	17	134221
1931	6	18	143606
1931	6	19	151969
1931	6	20	112317
1931	6	21	102215
1931	6	22	111342
1931	6	23	102385
1931	6	24	90097
1931	6	25	86601
1931	6	26	117078
1931	6	27	113336
1931	6	28	95923
1931	6	29	88185
1931	6	30	85318
1931	7	1	79538
1931	7	2	75765
1931	7	3	72296
1931	7	4	83578
1931	7	5	102808
1931	7	6	93176
1931	7	7	89730
1931	7	8	94047
1931	7	9	97725
1931	7	10	108511
1931	7	11	104231
1931	7	12	86588
1931	7	13	96809
1931	7	14	94543
1931	7	15	86884
1931	7	16	80210
1931	7	17	81344
1931	7	18	85078
1931	7	19	85966
1931	7	20	91180
1931	7	21	96240
1931	7	22	98480
1931	7	23	102971
1931	7	24	91841
1931	7	25	91731
1931	7	26	84635
1931	7	27	78298
1931	7	28	74541
1931	7	29	78623
1931	7	30	77705
1931	7	31	74668
1931	8	1	78656
1931	8	2	81163
1931	8	3	79751
1931	8	4	77735
1931	8	5	64731
1931	8	6	63619
1931	8	7	58863
1931	8	8	52722
1931	8	9	58872
1931	8	10	64129
1931	8	11	60591
1931	8	12	58066
1931	8	13	54241
