year	month	day	ARROW_sim
1981	5	4	42071.613
1981	5	5	42562.004
1981	5	6	44607.828
1981	5	7	47586.457
1981	5	8	46936.184
1981	5	9	43563.738
1981	5	10	42452.75
1981	5	11	43312.27
1981	5	12	45672.004
1981	5	13	50676.531
1981	5	14	58425.555
1981	5	15	67068.672
1981	5	16	74962.102
1981	5	17	83032.695
1981	5	18	90990.727
1981	5	19	98610.773
1981	5	20	106235.73
1981	5	21	116193.86
1981	5	22	128557.84
1981	5	23	140836.7
1981	5	24	151911
1981	5	25	161277.84
1981	5	26	170669.58
1981	5	27	180193
1981	5	28	186925.27
1981	5	29	190999.91
1981	5	30	192343.78
1981	5	31	191085.56
1981	6	1	188903.5
1981	6	2	181712.28
1981	6	3	170921.06
1981	6	4	164050.06
1981	6	5	163467.72
1981	6	6	165037.97
1981	6	7	164816.2
1981	6	8	164795.42
1981	6	9	162584.84
1981	6	10	155852.59
1981	6	11	145954.5
1981	6	12	132180.73
1981	6	13	116212.12
1981	6	14	101880.45
1981	6	15	92880.805
1981	6	16	90283.742
1981	6	17	93489.609
1981	6	18	99163.906
1981	6	19	102351.38
1981	6	20	103739.41
1981	6	21	104228.32
1981	6	22	101314.84
1981	6	23	94703.625
1981	6	24	88234.844
1981	6	25	85135.797
1981	6	26	85073.266
1981	6	27	85945.297
1981	6	28	87107.352
1981	6	29	89167.102
1981	6	30	90979.25
1981	7	1	95419.445
1981	7	2	105055.05
1981	7	3	111586.32
1981	7	4	113051.77
1981	7	5	116025.14
1981	7	6	124487.13
1981	7	7	137054.36
1981	7	8	147579.17
1981	7	9	150140.78
1981	7	10	145040.36
1981	7	11	139925.94
1981	7	12	137016.8
1981	7	13	131828.7
1981	7	14	122255.92
1981	7	15	117266.73
1981	7	16	114882.6
1981	7	17	106305.8
1981	7	18	100207.41
1981	7	19	103245.04
1981	7	20	109717.87
1981	7	21	111118.09
1981	7	22	105867.9
1981	7	23	99602.555
1981	7	24	96455.391
1981	7	25	95219.055
1981	7	26	94043.656
1981	7	27	94098.188
1981	7	28	94786.578
1981	7	29	92854.406
1981	7	30	89087.57
1981	7	31	86828.273
1981	8	1	85000.641
1981	8	2	84825.172
1981	8	3	88651.82
1981	8	4	91997.805
1981	8	5	89500.883
1981	8	6	79049.922
1981	8	7	64567.848
1981	8	8	52459.391
1981	8	9	45150.273
1981	8	10	41042.078
1981	8	11	37530.563
1981	8	12	34461.457
1981	8	13	32339.381
1981	8	14	30728.459
1981	8	15	29494.98
1981	8	16	28464.658
1981	8	17	27656.709
1981	8	18	28577.309
1981	8	19	30428.498
1981	8	20	31718.207
